"","group","Nspp","Supporting_edge_length","Nearest_neighbour_node_distance","Descendent_edge_length"
"1714","Perognathus alticola|Perognathus amplus|Perognathus fasciatus|Perognathus flavescens|Perognathus flavus|Perognathus inornatus|Perognathus longimembris|Perognathus merriami|Perognathus parvus|Perognathus xanthanotus|Chaetodipus formosus|Microdipodops megacephalus|Microdipodops pallidus|Thomomys bulbivorus|Thomomys talpoides|Thomomys monticola|Thomomys mazama|Geomys pinetis|Dipodomys deserti|Thomomys umbrinus|Pappogeomys bulleri|Pappogeomys merriami|Pappogeomys castanops|Pappogeomys gymnurus|Pappogeomys tylorhinus|Pappogeomys neglectus|Pappogeomys zinseri|Pappogeomys fumosus|Pappogeomys alcorni|Zygogeomys trichopus|Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Dipodomys compactus|Dipodomys spectabilis|Dipodomys nelsoni|Thomomys bottae|Thomomys townsendii|Geomys personatus|Geomys tropicalis|Geomys bursarius|Geomys arenarius|Heteromys gaumeri|Orthogeomys heterodus|Orthogeomys hispidus|Orthogeomys grandis|Orthogeomys cherriei|Orthogeomys underwoodi|Orthogeomys dariensis|Orthogeomys cavator|Orthogeomys cuniculus|Orthogeomys lanius|Orthogeomys matagalpae|Orthogeomys thaeleri|Dipodomys ordii|Dipodomys elator|Dipodomys phillipsii|Dipodomys californicus|Dipodomys insularis|Chaetodipus pernix|Chaetodipus californicus|Dipodomys gravipes|Dipodomys ingens|Dipodomys panamintinus|Dipodomys microps|Dipodomys merriami|Dipodomys nitratoides|Heteromys nelsoni|Heteromys anomalus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Dipodomys heermanni|Dipodomys stephensi|Dipodomys agilis|Heteromys oresterus|Heteromys australis|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus|Dipodomys venustus|Dipodomys elephantinus|Heteromys goldmani|Heteromys desmarestianus|Liomys adspersus|Liomys salvini|Liomys irroratus|Liomys pictus|Liomys spectabilis",91,0.0540341543357955,0.142656105265658,1.33289195544261
"1715","Perognathus alticola|Perognathus amplus|Perognathus fasciatus|Perognathus flavescens|Perognathus flavus|Perognathus inornatus|Perognathus longimembris|Perognathus merriami|Perognathus parvus|Perognathus xanthanotus|Chaetodipus formosus|Microdipodops megacephalus|Microdipodops pallidus|Dipodomys deserti|Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Dipodomys compactus|Dipodomys spectabilis|Dipodomys nelsoni|Dipodomys ordii|Dipodomys elator|Dipodomys phillipsii|Dipodomys californicus|Dipodomys insularis|Chaetodipus pernix|Chaetodipus californicus|Dipodomys gravipes|Dipodomys ingens|Dipodomys panamintinus|Dipodomys microps|Dipodomys merriami|Dipodomys nitratoides|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Dipodomys heermanni|Dipodomys stephensi|Dipodomys agilis|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus|Dipodomys venustus|Dipodomys elephantinus",46,0.00207823670522291,0.0172196755575612,0.692349713797117
"1716","Perognathus alticola|Perognathus amplus|Perognathus fasciatus|Perognathus flavescens|Perognathus flavus|Perognathus inornatus|Perognathus longimembris|Perognathus merriami|Perognathus parvus|Perognathus xanthanotus|Chaetodipus formosus|Chaetodipus arenarius|Chaetodipus baileyi|Chaetodipus hispidus|Chaetodipus pernix|Chaetodipus californicus|Chaetodipus penicillatus|Chaetodipus spinatus|Chaetodipus fallax|Chaetodipus intermedius|Chaetodipus nelsoni|Chaetodipus lineatus|Chaetodipus goldmani|Chaetodipus artus",24,0.00371113697361233,0.0241966130679524,0.521043631095171
"1717","Perognathus alticola|Perognathus amplus|Perognathus fasciatus|Perognathus flavescens|Perognathus flavus|Perognathus inornatus|Perognathus longimembris|Perognathus merriami|Perognathus parvus|Perognathus xanthanotus",10,0.0231574947153409,0.0388927154834572,0.256216896658195
"1718","Perognathus alticola",1,0.0233059401942854,0.0466118803885709,0
"1719","Perognathus amplus",1,0.0233059401942854,0.0466118803885709,0
"1720","Perognathus fasciatus",1,0.0233059401942854,0.0466118803885709,0
"1721","Perognathus flavescens",1,0.0233059401942854,0.0466118803885709,0
"1722","Perognathus flavus",1,0.0233059401942854,0.0466118803885709,0
"1723","Perognathus inornatus",1,0.0233059401942854,0.0466118803885709,0
