"Status","Order","Family","Genus","Binomial","Log_mass","Combined_mass","Ancestral.mass","Mass.change"
"extant","Rodentia","Muridae","Eligmodontia","Eligmodontia moreni",1.26,18,2.788125,1.528125
"extant","Artiodactyla","Bovidae","Madoqua","Madoqua kirkii",3.72,5300.1,5.24904761904762,1.52904761904762
"extant","Diprotodontia","Macropodidae","Lagostrophus","Lagostrophus fasciatus",3.23,1700,4.76243902439024,1.53243902439024
"extant","Rodentia","Muridae","Mus","Mus musculus",1.255,18.25,2.788125,1.533125
"extant","Rodentia","Muridae","Peromyscus","Peromyscus crinitus",1.25,18,2.788125,1.538125
"extant","Diprotodontia","Phalangeridae","Wyulda","Wyulda squamicaudata",3.22,1675,4.76243902439024,1.54243902439024
"extant","Diprotodontia","Potoroidae","Bettongia","Bettongia gaimardi",3.22,1660,4.76243902439024,1.54243902439024
"extant","Primates","Callitrichidae","Saguinus","Saguinus mystax",2.79,618,4.338,1.548
"extant","Primates","Cebidae","Saimiri","Saimiri boliviensis",2.79,615,4.338,1.548
"extant","Rodentia","Muridae","Gerbillus","Gerbillus simoni",1.24,17.4,2.788125,1.548125
"extant","Rodentia","Muridae","Leggadina","Leggadina lakedownensis",1.24,17.5,2.788125,1.548125
"extant","Rodentia","Muridae","Eligmodontia","Eligmodontia typus",1.24,17.3,2.788125,1.548125
"extant","Rodentia","Muridae","Phyllotis","Phyllotis gerbillus",1.24,17.4,2.788125,1.548125
"extant","Rodentia","Castoridae","Castor","Castor canadensis",4.34,21820,2.788125,1.551875
"extant","Diprotodontia","Psuedocheiridae","Petropseudes","Petropseudes dahli",3.21,1640,4.76243902439024,1.55243902439024
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger lullulae",3.21,1632.5,4.76243902439024,1.55243902439024
"extant","Carnivora","Mustelidae","Martes","Martes zibellina",3.05,1130,4.60282608695652,1.55282608695652
"extant","Carnivora","Procyonidae","Bassariscus","Bassariscus astutus",3.05,1129.5,4.60282608695652,1.55282608695652
"extant","Rodentia","Muridae","Pseudohydromys","Pseudohydromys murinus",1.23,16.8,2.788125,1.558125
"extant","Rodentia","Dipodidae","Zapus","Zapus hudsonius",1.23,17.1,2.788125,1.558125
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus pernix",1.23,17,2.788125,1.558125
"extant","Carnivora","Canidae","Vulpes","Vulpes zerda",3.04,1100,4.60282608695652,1.56282608695652
"extant","Artiodactyla","Tragulidae","Tragulus","Tragulus napu",3.685,4950,5.24904761904762,1.56404761904762
"extant","Dasyuromorphia","Myrmecobiidae","Myrmecobius","Myrmecobius fasciatus",2.67,471.5,4.23666666666667,1.56666666666667
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus intermedius",1.22,16.5,2.788125,1.568125
"extant","Rodentia","Muridae","Eligmodontia","Eligmodontia morgani",1.22,16.5,2.788125,1.568125
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger matanim",3.19,1550,4.76243902439024,1.57243902439024
"extant","Primates","Callitrichidae","Leontopithecus","Leontopithecus caissara",2.76,572,4.338,1.578
"extant","Primates","Callitrichidae","Saguinus","Saguinus labiatus",2.76,575,4.338,1.578
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus spinatus",1.21,16.4,2.788125,1.578125
"extant","Diprotodontia","Potoroidae","Bettongia","Bettongia lesueur",3.18,1500,4.76243902439024,1.58243902439024
"extant","Diprotodontia","Pseudocheiridae","Pseudochirops","Pseudochirops coronatus",3.18,1500,4.76243902439024,1.58243902439024
"extant","Carnivora","Viverridae","Genetta","Genetta servalina",3.02,1055,4.60282608695652,1.58282608695652
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus nelsoni",1.2,15.7,2.788125,1.588125
"extant","Rodentia","Muridae","Reithrodontomys","Reithrodontomys mexicanus",1.195,16,2.788125,1.593125
"extant","Dasyuromorphia","Dasyuridae","Murexia","Murexia longicaudata",2.64,434,4.23666666666667,1.59666666666667
"extant","Carnivora","Phocidae","Mirounga","Mirounga leonina",6.2,1600000,4.60282608695652,1.59717391304348
"extant","Rodentia","Muridae","Pseudomys","Pseudomys bolami",1.19,15.5,2.788125,1.598125
"extant","Carnivora","Canidae","Vulpes","Vulpes cana",3,1000,4.60282608695652,1.60282608695652
"extant","Carnivora","Mustelidae","Martes","Martes melampus",3,1000,4.60282608695652,1.60282608695652
"extant","Carnivora","Mustelidae","Galictis","Galictis cuja",3,1000,4.60282608695652,1.60282608695652
"extant","Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia",2.73,535.5,4.338,1.608
"extant","Primates","Callitrichidae","Saguinus","Saguinus midas",2.73,540,4.338,1.608
"extant","Rodentia","Muridae","Dendromus","Dendromus nyikae",1.18,15,2.788125,1.608125
"extant","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus penicillatus",1.18,15,2.788125,1.608125
"extant","Rodentia","Muridae","Scotinomys","Scotinomys xerampelinus",1.18,15,2.788125,1.608125
"extant","Diprotodontia","Macropodidae","Petrogale","Petrogale concinna",3.15,1400,4.76243902439024,1.61243902439024
"extant","Diprotodontia","Phalangeridae","Phalanger","Phalanger rothschildi",3.14,1365,4.76243902439024,1.62243902439024
"extant","Carnivora","Mustelidae","Mustela","Mustela vison",2.98,945,4.60282608695652,1.62282608695652
"extant","Primates","Megaladapidae","Lepilemur","Lepilemur dorsalis",2.7,500,4.338,1.638
"extant","Rodentia","Muridae","Heimyscus","Heimyscus fumosus",1.15,14.2,2.788125,1.638125
"extant","Rodentia","Muridae","Lorentzimys","Lorentzimys nouhuysi",1.15,14.2,2.788125,1.638125
"extant","Rodentia","Muridae","Calomys","Calomys laucha",1.15,14,2.788125,1.638125
