"taxon","clade","node","preceding.node","mass.node","mass.preceding.node","mass.change","edge.length","mass.by.edge"
"Harpiocephalus harpia|Murina huttoni|Murina aenea|Murina cyclotis|Murina suilla|Murina leucogaster|Murina tubinaris|Murina florium|Kerivoula atrox|Kerivoula papuensis|Kerivoula argentata|Kerivoula lanosa|Kerivoula flora|Kerivoula papillosa|Kerivoula whiteheadi|Kerivoula minuta|Kerivoula picta|Kerivoula hardwickei|Kerivoula phalaena|Kerivoula muscina|Kerivoula pellucida","Vespertilionidae",5844,5843,6.81965638263987,6.84800032168615,0.0283439390462821,12,0.00236199492052351
"Ichthyomys stolzmanni","Ichthyomys stolzmanni",526,3569,84.7,84.675,-0.0250000000000199,8.2,0.0030487804878073
"Dipodomys elator","Dipodomys elator",843,4086,77.5,77.5208106559725,0.0208106559724826,5.6,0.00371618856651474
"Pipistrellus subflavus","Pipistrellus subflavus",2566,5833,5.8,5.91301866111381,0.113018661113807,27.8,0.00406541946452542
"Peromyscus attwateri","Peromyscus attwateri",565,3647,27.9,27.95,0.0500000000000007,12.2,0.00409836065573776
"Peromyscus difficilis","Peromyscus difficilis",571,3647,28,27.95,-0.0500000000000007,12.2,0.00409836065573776
"Coleura afra","Coleura afra",2256,5500,10.7,10.65,-0.0499999999999989,9.8,0.00510204081632642
"Emballonura monticola","Emballonura monticola",2259,5501,5.4,5.35,-0.0499999999999998,9.8,0.00510204081632651
"Coleura seychellensis","Coleura seychellensis",2257,5500,10.6,10.65,0.0500000000000007,9.8,0.0051020408163266
"Emballonura alecto","Emballonura alecto",2258,5501,5.3,5.35,0.0500000000000007,9.8,0.0051020408163266
"Thyroptera discifera|Thyroptera tricolor","Thyroptera",5984,5983,3.75,3.96336166298926,0.213361662989261,41.2,0.00517868114051605
"Pipistrellus kuhlii|Pipistrellus rusticus|Pipistrellus ceylonicus|Pipistrellus nathusii|Pipistrellus pipistrellus|Pipistrellus tenuis|Pipistrellus mimus|Pipistrellus coromandra|Pipistrellus babu|Pipistrellus javanicus","Pipistrellus",5834,5833,5.96935094287231,5.91301866111381,-0.0563322817585075,10.7,0.00526469922976705
"Hipposideros caffer","Hipposideros caffer",2343,5615,9.43333333333333,9.56666666666667,0.133333333333333,23.9,0.00557880055788004
"Hipposideros ridleyi","Hipposideros ridleyi",2353,5615,9.7,9.56666666666667,-0.133333333333333,23.9,0.00557880055788004
"Eligmodontia typus","Eligmodontia typus",401,3440,17.3,17.2666666666667,-0.033333333333335,5.4,0.00617283950617315
"Perognathus amplus","Perognathus amplus",810,4065,11.7,11.6,-0.0999999999999996,15.7,0.00636942675159233
"Perognathus fasciatus","Perognathus fasciatus",811,4065,11.5,11.6,0.0999999999999996,15.7,0.00636942675159233
"Kerivoula argentata|Kerivoula lanosa|Kerivoula flora|Kerivoula papillosa|Kerivoula whiteheadi|Kerivoula minuta|Kerivoula picta|Kerivoula hardwickei|Kerivoula phalaena|Kerivoula muscina|Kerivoula pellucida","Kerivoula",5854,5852,5.38181818181818,5.43094409649733,0.0491259146791512,7.4,0.00663863711880421
